gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,diversity_index,dominant_pct,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_improvement_pct,avg_improvement_pct,progress_score,plateau_count,mutation_rate,mutation_mag,immigrant_rate,best_late,avg_late,best_card,avg_card
145,19230,10916.5,1774,2709.97,89.7,7.5,2.8,28.4,89.7,19230,18422,9.95,6.73,17735,10947.0,1496,18.21,30.79,28971.9,4,0.0672,0.0709,0.0872,63507,32177,123645,64034
146,19230,11017.8,1366,2457.87,88.1,8.1,3.8,32.3,88.1,19230,18422,9.95,6.73,16730,10964.7,2500,18.21,31.00,29120.6,5,0.0670,0.0705,0.0870,67245,33076,133605,66000
147,19230,10770.9,392,2490.20,87.5,8.1,4.4,33.9,87.5,19230,18422,9.95,6.73,15592,10916.2,3639,18.21,30.42,28916.3,6,0.0668,0.0701,0.0868,53400,31887,106331,63503
148,19230,10906.7,581,2713.78,89.7,7.5,2.8,28.4,89.7,19230,18422,9.95,6.73,16921,10913.8,2309,18.21,30.39,28979.9,7,0.0665,0.0698,0.0865,69823,32330,135154,64340
149,19230,10922.6,2510,2483.38,90.6,7.8,1.6,25.9,90.6,19230,18422,9.95,6.73,16613,10916.0,2617,18.21,30.42,29029.1,8,0.0663,0.0695,0.0863,48534,32642,94192,65005
150,19230,11067.3,631,2565.98,88.1,7.8,4.1,32.3,88.1,19230,18422,9.95,6.73,16314,10953.8,2916,18.21,30.87,28964.8,9,0.0661,0.0691,0.0861,67105,32112,133577,63894
151,19230,10819.6,579,2391.39,85.3,11.3,3.4,38.8,85.3,19230,18422,9.95,6.73,15713,10920.3,3517,18.21,30.47,28818.4,10,0.0659,0.0688,0.0859,49455,31201,97251,62224
152,19230,11038.1,1821,2361.64,89.4,8.8,1.9,29.0,89.4,19230,18422,9.95,6.73,16196,10949.7,3034,18.21,30.82,29027.8,11,0.0656,0.0685,0.0856,52633,32539,101917,64769
153,19230,10992.1,1811,2392.68,89.4,7.8,2.8,29.1,89.4,19230,18422,9.95,6.73,16727,10960.3,2503,18.21,30.95,29015.2,0,0.0654,0.0681,0.0854,53864,32445,100429,64489
154,19230,11037.7,1358,2689.19,90.3,7.2,2.5,26.8,90.3,19230,18422,9.95,6.73,17095,10979.7,2136,18.21,31.18,28982.0,1,0.0652,0.0678,0.0852,54770,32181,103381,63893
155,19230,10950.8,2477,2421.07,87.8,8.4,3.8,33.1,87.8,19230,18422,9.95,6.73,17761,10972.5,1470,18.21,31.09,29038.9,2,0.0650,0.0675,0.0850,72749,32571,140086,64721
156,19230,11143.7,1299,2341.73,89.1,6.9,4.1,30.1,89.1,19230,18422,9.95,6.73,16191,11015.3,3040,18.21,31.60,29085.1,3,0.0648,0.0672,0.0848,54983,32772,106807,65030
